Species,Mantis,date,Trial,Phylo,calibration,Food,lights,Notes,Machine Learning,Digitized,Frames to Extract (if necessary),Extracted,R notes,Ecomorph,Coxa_length,Femur_Length,Tibia_length,Body_length,PP_dist_cm_st,PP_dist_cm_at,PP_dist_cm_ttpc,PP_angle_st,PP_angle_at,PP_angle_ttpc,BD_dist_cm,BD_veloc_cm/s,Percent_lunge,Percent Arm,Coxa_angle,Coxa_AV,Coxa_dist,Coxa_LV,Femur_angle,Femur_AV,Femur_dist,Femur_LV,Tibia_angle,Tibia_AV_min,TIB_AV_max,Tibia_dist,Tibia_LV_min,Tibia_LV_max,Tibia_expansion,Tibia_expansion_velocity_min,Tibia_expansion_velocity_max,TTPC Approach,TTPC Sweep,Approach Time,TTP_COA,TTP_COD,TTP_FEA,TTP_FED,TTP_TIBA,TTP_TIBD,TTP_TIBE,AT_COA,AT_FEA,AT_TIBA,AT_MxCOAV,AT_MxFEAV,AT_MxTIBAV,AT_MnTIBAV,ST_MxCOAV,ST_MxFEAV,ST_MxTIBAV,ST_Mn_TIBAV,CF_lateral_disp,FT_lateral_disp,tib_lateral_disp,B_Tibia_angle,TTP_B.TIBA,TIB SYNC,BD_app,BD_Swp,PPD_m_app,PPD_m_swp,IJC.cf.mn,IJC.cf.sd,IJC.cf.sl,IJC.cf.R2,IJC.ct.mn,IJC.ct.sd,IJC.ct.sl,IJC.ct.R2,IJC.ft.mn,IJC.ft.sd,IJC.ft.sl,IJC.ft.R2,Coxa start,Femur start,Tib start,Max. Volume
Pseudovates chlorophea,PC-012,12/29/22,4,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",,yes,yes,150-230,yes,complete,Stick,1.378439725,1.797319558,0.648452718,3.070220159,3.943106145,3.806943664,2.6496477,136.6321241,138.5264512,144.9269597,1.189069255,39.1363305,29.06491586,99.17663681,98.38427732,4356.78255,2.13717592,92.43006081,139.1630478,6069.888748,2.702980601,128.3766303,104.4106659,-6479.232184,3933.359444,1.174007303,-50.89877053,51.1784338,3.068011596,-66.99830746,155.5232502,0.043,0.034,0.009,0.034,0.033,0.04,0.033,0.029,0.028,0.031,21.27499937,11.97419788,44.12888995,2813.078413,2388.201373,6622.975198,383.3290726,4356.78255,6069.888748,3933.359444,-6977.295692,0.488596419,1.477014241,1.741047201,150.4934142,0.028,1.2,0.180250091,1.124897545,-0.136162481,-1.251854937,1.35E-15,10.72397417,1.456210699,0.958736504,-2.08E-15,29.08014561,0.32529739,0.136200115,-6.97E-16,30.57087712,0.126239186,0.045368441,52.20883358,26.04824195,67.12866311,0.419185116
Pseudovates chlorophea,PC-012,12/29/22,5,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",,yes,yes,85-155,,complete,Stick,1.346131704,1.687650304,0.540453503,2.953409817,3.793475444,3.897708484,2.637591032,127.239768,118.1901391,131.2961479,1.086064461,34.68018281,28.88952727,102.7563172,103.548205,3942.656385,2.358866108,104.3912537,149.0287622,6090.4765,2.777134943,126.5674133,112.58324,-6798.026669,5354.560133,1.001480891,-54.10861328,53.65776186,2.926330853,-75.69942285,137.9709513,0.071,0.033,0.038,0.065,0.063,0.071,0.063,0.058,0.056,0.062,24.43305182,14.02925953,33.30118724,3023.949942,1910.551941,3073.231324,-73.96600126,3942.656385,6090.4765,26124.04851,-6798.026669,0.474229684,1.237116637,1.249065539,119.4383303,0.057,0.916666667,0.21568887,1.164205349,0.104233041,-1.614337611,-4.07E-17,10.73219572,1.461068087,0.968380139,-2.01E-15,32.37134013,0.354072451,0.165059528,-2.41E-15,33.83134108,0.174173047,0.088046736,40.32193736,24.06417565,55.55107794,0.247431834
Pseudovates chlorophea,PC-025,12/29/22,1,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",missed with one raptorial,yes,yes,150-205,yes,complete,Stick,1.366458347,1.789557693,0.76529586,3.188934249,3.306165942,3.250913196,2.755016726,125.328345,126.9202234,143.7620026,0.747516989,34.10302383,23.94166642,131.7690812,75.01602347,3359.17625,1.704046033,75.35099911,129.6782246,5763.611935,2.843949767,143.6698116,91.73170863,-6476.910954,5390.638315,1.57558199,-146.496274,79.07690383,2.973218317,-141.9781276,145.5628706,0.03,0.023,0.007,0.031,0.032,0.038,0.032,0.022,0.028,0.029,15.83973783,11.85024956,29.92469071,2346.16519,1996.354339,4356.00212,-623.7843737,3359.17625,5763.611935,5390.638315,-6476.910954,0.712159385,2.405415953,1.920199017,97.92046317,0.026,0.861111111,0.048713547,0.909118561,-0.055252745,-0.296973875,-1.02E-16,10.5423714,1.573033048,0.951165531,-2.16E-16,18.52628676,0.81810234,0.63044551,-2.82E-15,23.1868595,0.414552018,0.421123952,66.80809249,33.39248823,59.5608715,1.239856464
Pseudovates chlorophea,PC-025,12/29/22,2,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",,yes,yes,135-190,yes,"complete, figures look odd need to check",Stick,1.502008317,1.983346576,0.875775054,3.316750513,3.007396925,2.978278234,2.64122182,122.1780449,122.585477,122.991183,0.543619546,27.78115692,18.52510046,141.0543584,49.12245361,2668.976523,1.280505831,61.90623194,110.2955814,5903.892001,2.668599765,157.6259416,131.1625465,-13464.6851,7177.417639,1.711087805,-183.2280926,94.98538696,2.751577312,-161.7701835,185.0039538,0.024,0.017,0.007,0.029,0.031,0.034,0.031,0.021,0.023,0.025,15.35333309,9.603277922,73.25415412,2652.627162,1794.367205,10336.47301,-5953.158224,2668.976523,5903.892001,17221.83503,-13464.6851,0.722512916,1.97626468,2.076460471,142.3873871,0.021,0.821428571,0.083685742,0.761363839,-0.029118691,-0.373804765,-1.38E-15,17.47214791,2.375730363,0.842800838,1.33E-15,42.28898238,0.10128151,0.00166057,4.63E-15,40.55702168,-0.274624515,0.081760724,76.74522048,34.46377977,62.18937374,1.104910954
Pseudovates chlorophea,PC-025,12/29/22,3,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",,yes,yes,135-200,yes,complete,Stick,1.410771191,1.963481771,0.81341322,3.26018663,3.197875487,3.105150414,2.586980944,120.2817931,119.551857,123.0582882,0.759703146,32.84925452,23.06772755,132.4823394,67.65637858,3258.294364,1.569947826,78.30133077,120.8905549,5810.69586,2.595204222,140.9400286,143.7759228,-12287.99708,5642.15982,1.941393905,-169.6497175,85.30451854,2.862882371,-158.4387764,164.1469874,0.027,0.022,0.005,0.03,0.032,0.034,0.032,0.024,0.026,0.027,14.98147749,10.88347997,91.5133636,3054.754995,2392.639675,13121.65057,-2134.918837,3258.294364,5810.69586,5642.15982,-12287.99708,0.586259016,2.095997324,2.363811625,102.4762845,0.019,1.12,0.067761378,1.072493745,-0.092725073,-0.830891252,-5.74E-16,18.71975253,1.855702157,0.837622571,-2.40E-17,48.89684967,0.126156436,0.003482158,-1.12E-14,46.74014678,-0.315350078,0.089450702,71.86985699,36.41802209,94.10798197,1.516026904
Pseudovates chlorophea,PC-025,12/29/22,4,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",only grabbed 1 leg,yes,yes,30-85,,complete,Stick,1.387800723,1.987672941,0.724223342,3.216235031,4.530876647,4.670958109,4.172834883,121.6345756,118.4615704,128.6544463,1.678696387,52.02366108,37.22321449,91.6517618,92.23370116,3752.90337,2.475021922,96.47985741,128.9993767,4984.78819,2.746214393,118.568692,142.8200374,-7170.535609,8574.879608,1.41706366,-73.6926908,61.74453186,3.235372639,-84.68384528,137.2938697,0.04,0.028,0.012,0.034,0.037,0.048,0.037,0.031,0.033,0.037,35.48316017,12.77279542,79.203723,3620.998223,1861.190053,13475.07361,825.4736284,3752.90337,6875.499016,30003.84625,-7170.535609,0.971721186,2.671489368,2.912343135,155.469592,0.03,1.03030303,0.351541002,1.890563087,0.140081462,-0.856345222,-4.06E-16,24.20196779,1.412576503,0.665647989,-6.48E-16,44.77233916,0.439997305,0.053426054,6.00E-15,43.93914527,-0.326764768,0.088328905,44.24736185,27.41002292,58.42428257,1.025747708
Pseudovates chlorophea,PC-025,12/29/22,5,Phyllovates_chlorophaea_MN026,Lego_cal_15_point.csv,Blue bottle fly,"IR, Spotlight on",,yes,yes,55-125,,complete,Stick,1.213997194,1.943358079,0.741125023,3.21450242,2.403563113,2.346149758,1.786719508,120.8344663,114.7594255,112.3896143,0.951231799,25.65702114,27.95116027,83.48771642,56.59719042,1720.79828,1.29587575,37.62389063,94.70386092,3112.222651,2.098045792,67.65000396,123.7974867,-4587.34842,2999.233107,1.243619599,-46.03299678,31.36696105,1.871674748,-54.66816929,62.82086089,0.039,0.025,0.014,0.043,0.046,0.052,0.046,0.027,0.029,0.044,20.027237,9.455935421,103.7753284,1707.959666,1604.599217,8833.051449,-1703.452517,5588.944272,7718.252107,3955.930143,-4587.34842,0.872393614,2.005152061,1.788414213,162.8849303,0.098,1.205882353,0.105281651,1.026744491,-0.057413355,-0.901264792,-3.60E-16,10.68357038,1.349840175,0.854002239,3.66E-15,30.78674638,0.059195395,0.001352824,-1.62E-15,30.37021132,-0.185004991,0.028192787,47.20539774,16.10910751,71.7175755,0.823348433
Theopropus elegans,TE02,6/12/22,1,Theopropus_elegans_MN094,Lego calibration Frames 12 point update.csv,Red runner,"IR, Spotlight on",roach touched mantises face prompting mantis to strike,manual,,60 - 135,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theopropus elegans,TE02,6/12/22,2,Theopropus_elegans_MN094,Lego calibration Frames 12 point update.csv,red runner,"IR, Spotlight on",,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theopropus elegans,TE02,6/16/22,3,Theopropus_elegans_MN094,Lego calibration Frames 12 point update.csv,Blue bottle fly,"IR, Spotlight on","cal 2 16 June, mantis is slightly oblique but good capture,  prey presented slighly diagonally below head triggered strong feeding response",,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
